Location,Percent Change in Diabetes Prevalence,FIPS Code,State Name
Pottawatomie County,51.02,40125,OK
Pushmataha County,52.14,40127,OK
Roger Mills County,37.92,40129,OK
Rogers County,44.79,40131,OK
Seminole County,51.82,40133,OK
Sequoyah County,47.93,40135,OK
Stephens County,44.4,40137,OK
Texas County,60.35,40139,OK
Tillman County,35.19,40141,OK
Tulsa County,48.16,40143,OK
Wagoner County,43.9,40145,OK
Washington County,53.16,40147,OK
Washita County,39.57,40149,OK
Woods County,45.12,40151,OK
Woodward County,44.78,40153,OK
